"序号","一级目录","二级目录","文档标题","上线批次","上线状态","语言","文档ID","正式域名URL","GitHub Pages预览URL","新帮助中心路径","源码路径","旧帮助中心目录","旧帮助中心标题","是否有附件","附件数量","附件是否已本地化","语言覆盖","对应语言文档ID","对应语言正式URL","是否目录入口文档","是否需要业务复核","复核原因","复核负责人","复核结论","维护方式","最后更新时间","备注"
"41","OP Card 常见 FAQ","常见问题","为什么我的卡支付失败？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/card-payment-failed","https://support.oceanpayment.com/docs/op-card-faq/common-questions/card-payment-failed/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/card-payment-failed/","/docs/op-card-faq/common-questions/card-payment-failed/","docs/op-card-faq/common-questions/card-payment-failed/index.mdx","OP Card常见问题","为什么我的卡支付失败？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"42","OP Card 常见 FAQ","常见问题","为什么我的卡被暂停了？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/card-suspended","https://support.oceanpayment.com/docs/op-card-faq/common-questions/card-suspended/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/card-suspended/","/docs/op-card-faq/common-questions/card-suspended/","docs/op-card-faq/common-questions/card-suspended/index.mdx","OP Card常见问题","为什么我的卡被暂停了？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"43","OP Card 常见 FAQ","常见问题","我可以在交易处理中时停止或取消卡交易吗？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/stop-or-cancel-processing-card-transaction","https://support.oceanpayment.com/docs/op-card-faq/common-questions/stop-or-cancel-processing-card-transaction/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/stop-or-cancel-processing-card-transaction/","/docs/op-card-faq/common-questions/stop-or-cancel-processing-card-transaction/","docs/op-card-faq/common-questions/stop-or-cancel-processing-card-transaction/index.mdx","OP Card常见问题","我可以在交易处理中时停止或取消卡交易吗？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"44","OP Card 常见 FAQ","常见问题","为什么卡片被冻结或卡片注销后，交易仍然成功了？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/transaction-success-after-card-frozen-or-cancelled","https://support.oceanpayment.com/docs/op-card-faq/common-questions/transaction-success-after-card-frozen-or-cancelled/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/transaction-success-after-card-frozen-or-cancelled/","/docs/op-card-faq/common-questions/transaction-success-after-card-frozen-or-cancelled/","docs/op-card-faq/common-questions/transaction-success-after-card-frozen-or-cancelled/index.mdx","OP Card常见问题","为什么卡片被冻结或卡片注销后，交易仍然成功了？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"45","OP Card 常见 FAQ","常见问题","什么叫币种叠加换汇？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/stacked-currency-conversion","https://support.oceanpayment.com/docs/op-card-faq/common-questions/stacked-currency-conversion/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/stacked-currency-conversion/","/docs/op-card-faq/common-questions/stacked-currency-conversion/","docs/op-card-faq/common-questions/stacked-currency-conversion/index.mdx","OP Card常见问题","什么叫币种叠加换汇？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"46","OP Card 常见 FAQ","常见问题","如何提出拒付？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/how-to-raise-chargeback","https://support.oceanpayment.com/docs/op-card-faq/common-questions/how-to-raise-chargeback/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/how-to-raise-chargeback/","/docs/op-card-faq/common-questions/how-to-raise-chargeback/","docs/op-card-faq/common-questions/how-to-raise-chargeback/index.mdx","OP Card常见问题","如何提出拒付？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"47","OP Card 常见 FAQ","常见问题","受理中的拒付资金怎么处理","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/chargeback-funds-in-process","https://support.oceanpayment.com/docs/op-card-faq/common-questions/chargeback-funds-in-process/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/chargeback-funds-in-process/","/docs/op-card-faq/common-questions/chargeback-funds-in-process/","docs/op-card-faq/common-questions/chargeback-funds-in-process/index.mdx","OP Card常见问题","受理中的拒付资金怎么处理","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"48","OP Card 常见 FAQ","常见问题","实际扣款金额与处理中金额有可能会不同吗？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/actual-and-processing-amount-difference","https://support.oceanpayment.com/docs/op-card-faq/common-questions/actual-and-processing-amount-difference/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/actual-and-processing-amount-difference/","/docs/op-card-faq/common-questions/actual-and-processing-amount-difference/","docs/op-card-faq/common-questions/actual-and-processing-amount-difference/index.mdx","OP Card常见问题","实际扣款金额与处理中金额有可能会不同吗？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"49","OP Card 常见 FAQ","常见问题","怎么创建卡片？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/create-card","https://support.oceanpayment.com/docs/op-card-faq/common-questions/create-card/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/create-card/","/docs/op-card-faq/common-questions/create-card/","docs/op-card-faq/common-questions/create-card/index.mdx","OP Card常见问题","怎么创建卡片？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"50","OP Card 常见 FAQ","常见问题","如何新增卡？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/add-new-card","https://support.oceanpayment.com/docs/op-card-faq/common-questions/add-new-card/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/add-new-card/","/docs/op-card-faq/common-questions/add-new-card/","docs/op-card-faq/common-questions/add-new-card/index.mdx","OP Card常见问题","如何新增卡？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"51","OP Card 常见 FAQ","常见问题","怎么查看卡信息？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/view-card-information","https://support.oceanpayment.com/docs/op-card-faq/common-questions/view-card-information/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/view-card-information/","/docs/op-card-faq/common-questions/view-card-information/","docs/op-card-faq/common-questions/view-card-information/index.mdx","OP Card常见问题","怎么查看卡信息？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"52","OP Card 常见 FAQ","常见问题","什么是我的可用余额？如何增加可用额度？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/available-balance-and-increase-limit","https://support.oceanpayment.com/docs/op-card-faq/common-questions/available-balance-and-increase-limit/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/available-balance-and-increase-limit/","/docs/op-card-faq/common-questions/available-balance-and-increase-limit/","docs/op-card-faq/common-questions/available-balance-and-increase-limit/index.mdx","OP Card常见问题","什么是我的可用余额？如何增加可用额度？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"53","OP Card 常见 FAQ","常见问题","如何更改自己设定的虚拟卡的交易限额？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/change-virtual-card-transaction-limit","https://support.oceanpayment.com/docs/op-card-faq/common-questions/change-virtual-card-transaction-limit/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/change-virtual-card-transaction-limit/","/docs/op-card-faq/common-questions/change-virtual-card-transaction-limit/","docs/op-card-faq/common-questions/change-virtual-card-transaction-limit/index.mdx","OP Card常见问题","如何更改自己设定的虚拟卡的交易限额？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"54","OP Card 常见 FAQ","常见问题","什么是卡冻结？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/what-is-card-freeze","https://support.oceanpayment.com/docs/op-card-faq/common-questions/what-is-card-freeze/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/what-is-card-freeze/","/docs/op-card-faq/common-questions/what-is-card-freeze/","docs/op-card-faq/common-questions/what-is-card-freeze/index.mdx","OP Card常见问题","什么是卡冻结？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"55","OP Card 常见 FAQ","常见问题","怎么进行卡注销？卡注销后资金怎么处理？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/cancel-card-and-handle-funds","https://support.oceanpayment.com/docs/op-card-faq/common-questions/cancel-card-and-handle-funds/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/cancel-card-and-handle-funds/","/docs/op-card-faq/common-questions/cancel-card-and-handle-funds/","docs/op-card-faq/common-questions/cancel-card-and-handle-funds/index.mdx","OP Card常见问题","怎么进行卡注销？卡注销后资金怎么处理？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"56","OP Card 常见 FAQ","常见问题","OPcard有效期是多久？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/opcard-validity-period","https://support.oceanpayment.com/docs/op-card-faq/common-questions/opcard-validity-period/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/opcard-validity-period/","/docs/op-card-faq/common-questions/opcard-validity-period/","docs/op-card-faq/common-questions/opcard-validity-period/index.mdx","OP Card常见问题","OPcard有效期是多久？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"57","OP Card 常见 FAQ","常见问题","已注销的卡可以收到退款么？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/refund-to-cancelled-card","https://support.oceanpayment.com/docs/op-card-faq/common-questions/refund-to-cancelled-card/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/refund-to-cancelled-card/","/docs/op-card-faq/common-questions/refund-to-cancelled-card/","docs/op-card-faq/common-questions/refund-to-cancelled-card/index.mdx","OP Card常见问题","已注销的卡可以收到退款么？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"58","OP Card 常见 FAQ","常见问题","卡被盗了怎么办？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/stolen-card","https://support.oceanpayment.com/docs/op-card-faq/common-questions/stolen-card/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/stolen-card/","/docs/op-card-faq/common-questions/stolen-card/","docs/op-card-faq/common-questions/stolen-card/index.mdx","OP Card常见问题","卡被盗了怎么办？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"59","OP Card 常见 FAQ","常见问题","单笔卡交易限额","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/single-card-transaction-limit","https://support.oceanpayment.com/docs/op-card-faq/common-questions/single-card-transaction-limit/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/single-card-transaction-limit/","/docs/op-card-faq/common-questions/single-card-transaction-limit/","docs/op-card-faq/common-questions/single-card-transaction-limit/index.mdx","OP Card常见问题","单笔卡交易限额","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"60","OP Card 常见 FAQ","常见问题","发卡账户一天可以提额几次","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/card-account-daily-limit-increase-times","https://support.oceanpayment.com/docs/op-card-faq/common-questions/card-account-daily-limit-increase-times/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/card-account-daily-limit-increase-times/","/docs/op-card-faq/common-questions/card-account-daily-limit-increase-times/","docs/op-card-faq/common-questions/card-account-daily-limit-increase-times/index.mdx","OP Card常见问题","发卡账户一天可以提额几次","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"61","OP Card 常见 FAQ","常见问题","发卡账户增额的限制","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/card-account-limit-increase-restrictions","https://support.oceanpayment.com/docs/op-card-faq/common-questions/card-account-limit-increase-restrictions/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/card-account-limit-increase-restrictions/","/docs/op-card-faq/common-questions/card-account-limit-increase-restrictions/","docs/op-card-faq/common-questions/card-account-limit-increase-restrictions/index.mdx","OP Card常见问题","发卡账户增额的限制","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"62","OP Card 常见 FAQ","常见问题","我的费用结算时间是什么时候？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/fee-settlement-time","https://support.oceanpayment.com/docs/op-card-faq/common-questions/fee-settlement-time/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/fee-settlement-time/","/docs/op-card-faq/common-questions/fee-settlement-time/","docs/op-card-faq/common-questions/fee-settlement-time/index.mdx","OP Card常见问题","我的费用结算时间是什么时候？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"63","OP Card 常见 FAQ","常见问题","如何查看我被收取的所有费用？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/view-all-fees","https://support.oceanpayment.com/docs/op-card-faq/common-questions/view-all-fees/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/view-all-fees/","/docs/op-card-faq/common-questions/view-all-fees/","docs/op-card-faq/common-questions/view-all-fees/index.mdx","OP Card常见问题","如何查看我被收取的所有费用？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"64","OP Card 常见 FAQ","常见问题","如何创建企业卡？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/create-company-card","https://support.oceanpayment.com/docs/op-card-faq/common-questions/create-company-card/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/create-company-card/","/docs/op-card-faq/common-questions/create-company-card/","docs/op-card-faq/common-questions/create-company-card/index.mdx","OP Card常见问题","如何创建企业卡？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"65","OP Card 常见 FAQ","常见问题","什么是企业卡卡片联系人？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/company-card-contact","https://support.oceanpayment.com/docs/op-card-faq/common-questions/company-card-contact/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/company-card-contact/","/docs/op-card-faq/common-questions/company-card-contact/","docs/op-card-faq/common-questions/company-card-contact/index.mdx","OP Card常见问题","什么是企业卡卡片联系人？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"66","OP Card 常见 FAQ","常见问题","谁会默认成为企业卡卡片联系人？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/default-company-card-contact","https://support.oceanpayment.com/docs/op-card-faq/common-questions/default-company-card-contact/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/default-company-card-contact/","/docs/op-card-faq/common-questions/default-company-card-contact/","docs/op-card-faq/common-questions/default-company-card-contact/index.mdx","OP Card常见问题","谁会默认成为企业卡卡片联系人？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"67","OP Card 常见 FAQ","常见问题","卡片联系人可以做什么？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/card-contact-permissions","https://support.oceanpayment.com/docs/op-card-faq/common-questions/card-contact-permissions/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/card-contact-permissions/","/docs/op-card-faq/common-questions/card-contact-permissions/","docs/op-card-faq/common-questions/card-contact-permissions/index.mdx","OP Card常见问题","卡片联系人可以做什么？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"68","OP Card 常见 FAQ","常见问题","谁可以指定企业卡卡片联系人？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/who-can-assign-company-card-contact","https://support.oceanpayment.com/docs/op-card-faq/common-questions/who-can-assign-company-card-contact/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/who-can-assign-company-card-contact/","/docs/op-card-faq/common-questions/who-can-assign-company-card-contact/","docs/op-card-faq/common-questions/who-can-assign-company-card-contact/index.mdx","OP Card常见问题","谁可以指定企业卡卡片联系人？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"69","OP Card 常见 FAQ","常见问题","可以指定谁作为企业卡卡片联系人？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/who-can-be-company-card-contact","https://support.oceanpayment.com/docs/op-card-faq/common-questions/who-can-be-company-card-contact/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/who-can-be-company-card-contact/","/docs/op-card-faq/common-questions/who-can-be-company-card-contact/","docs/op-card-faq/common-questions/who-can-be-company-card-contact/index.mdx","OP Card常见问题","可以指定谁作为企业卡卡片联系人？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"70","OP Card 常见 FAQ","常见问题","可以为每张企业卡指定几位卡片联系人？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/company-card-contact-limit","https://support.oceanpayment.com/docs/op-card-faq/common-questions/company-card-contact-limit/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/company-card-contact-limit/","/docs/op-card-faq/common-questions/company-card-contact-limit/","docs/op-card-faq/common-questions/company-card-contact-limit/index.mdx","OP Card常见问题","可以为每张企业卡指定几位卡片联系人？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"71","OP Card 常见 FAQ","常见问题","什么是处理中的卡交易？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/processing-card-transaction","https://support.oceanpayment.com/docs/op-card-faq/common-questions/processing-card-transaction/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/processing-card-transaction/","/docs/op-card-faq/common-questions/processing-card-transaction/","docs/op-card-faq/common-questions/processing-card-transaction/index.mdx","OP Card常见问题","什么是处理中的卡交易？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"72","OP Card 常见 FAQ","常见问题","交易会保持处理中多久？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/processing-card-transaction-duration","https://support.oceanpayment.com/docs/op-card-faq/common-questions/processing-card-transaction-duration/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/processing-card-transaction-duration/","/docs/op-card-faq/common-questions/processing-card-transaction-duration/","docs/op-card-faq/common-questions/processing-card-transaction-duration/index.mdx","OP Card常见问题","交易会保持处理中多久？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"73","OP Card 常见 FAQ","常见问题","什么是已撤销的卡交易？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/reversed-card-transaction","https://support.oceanpayment.com/docs/op-card-faq/common-questions/reversed-card-transaction/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/reversed-card-transaction/","/docs/op-card-faq/common-questions/reversed-card-transaction/","docs/op-card-faq/common-questions/reversed-card-transaction/index.mdx","OP Card常见问题","什么是已撤销的卡交易？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"74","OP Card 常见 FAQ","常见问题","为什么卡片被冻结/取消后，交易仍然成功了？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/transaction-success-after-card-freeze-or-cancel","https://support.oceanpayment.com/docs/op-card-faq/common-questions/transaction-success-after-card-freeze-or-cancel/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/transaction-success-after-card-freeze-or-cancel/","/docs/op-card-faq/common-questions/transaction-success-after-card-freeze-or-cancel/","docs/op-card-faq/common-questions/transaction-success-after-card-freeze-or-cancel/index.mdx","OP Card常见问题","为什么卡片被冻结/取消后，交易仍然成功了？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"75","OP Card 常见 FAQ","常见问题","如何保护自己免遭诈骗和卡片欺诈","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/protect-against-card-fraud","https://support.oceanpayment.com/docs/op-card-faq/common-questions/protect-against-card-fraud/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/protect-against-card-fraud/","/docs/op-card-faq/common-questions/protect-against-card-fraud/","docs/op-card-faq/common-questions/protect-against-card-fraud/index.mdx","OP Card常见问题","如何保护自己免遭诈骗和卡片欺诈","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"76","OP Card 常见 FAQ","常见问题","如果我的多张卡片上都发生了欺诈怎么办？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/fraud-on-multiple-cards","https://support.oceanpayment.com/docs/op-card-faq/common-questions/fraud-on-multiple-cards/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/fraud-on-multiple-cards/","/docs/op-card-faq/common-questions/fraud-on-multiple-cards/","docs/op-card-faq/common-questions/fraud-on-multiple-cards/index.mdx","OP Card常见问题","如果我的多张卡片上都发生了欺诈怎么办？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"77","OP Card 常见 FAQ","常见问题","Oceanpayment Card价格","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/common-questions/oceanpayment-card-pricing","https://support.oceanpayment.com/docs/op-card-faq/common-questions/oceanpayment-card-pricing/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/common-questions/oceanpayment-card-pricing/","/docs/op-card-faq/common-questions/oceanpayment-card-pricing/","docs/op-card-faq/common-questions/oceanpayment-card-pricing/index.mdx","OP Card常见问题","Oceanpayment Card价格","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"78","OP Card 常见 FAQ","条款和条件","Oceanpayment 卡条款和条件","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/terms-conditions/terms-and-conditions","https://support.oceanpayment.com/docs/op-card-faq/terms-conditions/terms-and-conditions/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/terms-conditions/terms-and-conditions/","/docs/op-card-faq/terms-conditions/terms-and-conditions/","docs/op-card-faq/terms-conditions/terms-and-conditions/index.mdx","OP Card条款和条件","Terms and Conditions条款","否","0","不涉及","中英文均有","op-card-faq/terms-conditions/terms-and-conditions","https://support.oceanpayment.com/en/docs/op-card-faq/terms-conditions/terms-and-conditions/","否","否","","","","过渡期人工维护","2026/07/06",""
"79","OP Card 常见 FAQ","支持 Google Pay FAQ","使用 Google Pay 是否会产生额外费用？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/google-pay-faq/google-pay-extra-fees","https://support.oceanpayment.com/docs/op-card-faq/google-pay-faq/google-pay-extra-fees/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/google-pay-faq/google-pay-extra-fees/","/docs/op-card-faq/google-pay-faq/google-pay-extra-fees/","docs/op-card-faq/google-pay-faq/google-pay-extra-fees/index.mdx","OPCard 支持Google Pay FAQ","使用 Google Pay 是否会产生额外费用？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"80","OP Card 常见 FAQ","支持 Google Pay FAQ","使用 Google Pay 是否安全？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/google-pay-faq/google-pay-security","https://support.oceanpayment.com/docs/op-card-faq/google-pay-faq/google-pay-security/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/google-pay-faq/google-pay-security/","/docs/op-card-faq/google-pay-faq/google-pay-security/","docs/op-card-faq/google-pay-faq/google-pay-security/index.mdx","OPCard 支持Google Pay FAQ","使用 Google Pay 是否安全？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"81","OP Card 常见 FAQ","支持 Google Pay FAQ","为什么无法绑定 OPCard 到 Google Wallet？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/google-pay-faq/cannot-bind-opcard-to-google-wallet","https://support.oceanpayment.com/docs/op-card-faq/google-pay-faq/cannot-bind-opcard-to-google-wallet/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/google-pay-faq/cannot-bind-opcard-to-google-wallet/","/docs/op-card-faq/google-pay-faq/cannot-bind-opcard-to-google-wallet/","docs/op-card-faq/google-pay-faq/cannot-bind-opcard-to-google-wallet/index.mdx","OPCard 支持Google Pay FAQ","为什么无法绑定 OPCard 到 Google Wallet？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"82","OP Card 常见 FAQ","支持 Google Pay FAQ","使用 Google Pay 需要满足什么条件？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/google-pay-faq/google-pay-requirements","https://support.oceanpayment.com/docs/op-card-faq/google-pay-faq/google-pay-requirements/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/google-pay-faq/google-pay-requirements/","/docs/op-card-faq/google-pay-faq/google-pay-requirements/","docs/op-card-faq/google-pay-faq/google-pay-requirements/index.mdx","OPCard 支持Google Pay FAQ","使用 Google Pay 需要满足什么条件？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"83","OP Card 常见 FAQ","支持 Google Pay FAQ","使用 Google Pay 是否需要实体卡？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/google-pay-faq/google-pay-physical-card","https://support.oceanpayment.com/docs/op-card-faq/google-pay-faq/google-pay-physical-card/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/google-pay-faq/google-pay-physical-card/","/docs/op-card-faq/google-pay-faq/google-pay-physical-card/","docs/op-card-faq/google-pay-faq/google-pay-physical-card/index.mdx","OPCard 支持Google Pay FAQ","使用 Google Pay 是否需要实体卡？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
"84","OP Card 常见 FAQ","支持 Google Pay FAQ","是否可以在海外使用？","2026-07-08 帮助中心上线","待上线","中文","op-card-faq/google-pay-faq/google-pay-overseas-use","https://support.oceanpayment.com/docs/op-card-faq/google-pay-faq/google-pay-overseas-use/","https://keaton1167.github.io/oceanpayment-help-center/docs/op-card-faq/google-pay-faq/google-pay-overseas-use/","/docs/op-card-faq/google-pay-faq/google-pay-overseas-use/","docs/op-card-faq/google-pay-faq/google-pay-overseas-use/index.mdx","OPCard 支持Google Pay FAQ","是否可以在海外使用？","否","0","不涉及","中文-only","","","否","否","","","","过渡期人工维护","2026/07/06","仅中文站上线"
